ID,CorrectedLongitude,CorrectedLatitude
524,11.554721217,48.12327088
525,11.5548166088,48.1230600857
526,11.5547307256,48.12311835
527,11.5547981324,48.1233347864
528,11.5547981324,48.1233347864
529,11.5549536071,48.1233681563
530,11.5547981324,48.1233347864
531,11.5548750478,48.1233986927
532,11.5547981324,48.1233347864
533,11.5547981324,48.1233347864
534,11.5547981324,48.1233347864
535,11.5547981324,48.1233347864
536,11.5547981324,48.1233347864
537,11.554721217,48.12327088
538,11.5547981324,48.1233347864
539,11.5549536071,48.1233681563
540,11.5548750478,48.1233986927
541,11.5549519466,48.123462619
542,11.554865021,48.1234145502
543,11.554865021,48.1234145502
544,11.554865021,48.1234145502
545,11.554865021,48.1234145502
546,11.5548750478,48.1233986927
547,11.5547981324,48.1233347864
548,11.5549536071,48.1233681563
549,11.5548750478,48.1233986927
550,11.554865021,48.1234145502
551,11.5548750478,48.1233986927
552,11.5548750478,48.1233986927
553,11.5548421773,48.1235149239
554,11.5547761,48.1234603
555,11.5549519466,48.123462619
556,11.5550455,48.1234914
557,11.5550455,48.1234914
558,11.5547981324,48.1233347864
559,11.5547981324,48.1233347864
560,11.5546443016,48.1232069736
561,11.5546926295,48.1234648186
562,11.5547692926,48.1235290275
563,11.553680572,48.1233293578
564,11.5521115163,48.1240260664
565,11.5504624345,48.1247297929
566,11.5502783199,48.1248079071
567,11.5486056217,48.1255527206
568,11.5476076827,48.1266618489
569,11.5463306222,48.127478286
570,11.5452189314,48.1277089645
571,11.5442517917,48.1278647481
572,11.5430944165,48.1283714266
573,11.5417430838,48.1290225026
574,11.5408226652,48.1294665639
575,11.5393433373,48.1298475602
576,11.5393301928,48.1306407554
577,11.5392792695,48.130659575
578,11.5377323102,48.1313478324
579,11.5361005132,48.1321050249
580,11.5342546116,48.1328688878
581,11.533378537,48.1333427969
582,11.5327009177,48.1337870574
583,11.5312071274,48.1348724949
584,11.5304542719,48.1353300133
585,11.5299593,48.1352515
586,11.5299593,48.1352515
587,11.5301243712,48.1351347571
588,11.5300389068,48.1350828356
589,11.5300389068,48.1350828356
590,11.5299552,48.1349541
591,11.5299552,48.1349541
592,11.5296970298,48.1348751818
593,11.5297039262,48.1358820025
594,11.5297039262,48.1358820025
595,11.5288692,48.1360041
596,11.5288692,48.1360041
597,11.5297039262,48.1358820025
598,11.5297039262,48.1358820025
599,11.5285373211,48.1353252109
600,11.5285373211,48.1353252109
601,11.5288692,48.1360041
602,11.5288692,48.1360041
603,11.5288692,48.1360041
604,11.5297039262,48.1358820025
605,11.5297039262,48.1358820025
606,11.5297039262,48.1358820025
607,11.5290365586,48.1364873322
608,11.528086591,48.13721851
609,11.5281948297,48.1382263685
610,11.5281699069,48.1393257701
611,11.528159456,48.1400254017
612,11.5299013662,48.1404510405
613,11.530914,48.1404271
614,11.5310895,48.1404181
615,11.5324954073,48.1402756129
616,11.5324954073,48.1402756129
617,11.5337936678,48.1402086733
618,11.5339183147,48.1401457843
619,11.5352188371,48.1398976703
620,11.5361979451,48.1399891359
621,11.5358069888,48.1398196783
622,11.5355071441,48.1391398714
623,11.5348572603,48.1392439198
624,11.5352238,48.1384842
625,11.5355875578,48.1384873052
626,11.5348548724,48.1393438913
627,11.5354639266,48.1389273573
628,11.5355156721,48.1390402357
