ID,CorrectedLongitude,CorrectedLatitude,NearestLinkIdentifier,NearestLinkClass
516,11.5547750578,48.1233156145,1034229474,footway
517,11.5547750578,48.1233156145,1034229474,footway
518,11.5547289085,48.1232772706,1034229474,footway
519,11.5547519831,48.1232964425,1034229474,footway
520,11.5547289085,48.1232772706,1034229474,footway
521,11.5547519831,48.1232964425,1034229474,footway
522,11.5547519831,48.1232964425,1034229474,footway
523,11.5547519831,48.1232964425,1034229474,footway
524,11.5547519831,48.1232964425,1034229474,footway
525,11.5548104179,48.1230679388,494429776,service
526,11.5547483307,48.12310886,852037200,service
527,11.5547981324,48.1233347864,1034229474,footway
528,11.554821207,48.1233539583,1034229474,footway
529,11.5549890075,48.1233495335,1011314836,path
530,11.5547750578,48.1233156145,1034229474,footway
531,11.5548828053,48.1234054002,1011314836,path
532,11.554821207,48.1233539583,1034229474,footway
533,11.554821207,48.1233539583,1034229474,footway
534,11.554821207,48.1233539583,1034229474,footway
535,11.554821207,48.1233539583,1034229474,footway
536,11.554821207,48.1233539583,1034229474,footway
537,11.5547519831,48.1232964425,1034229474,footway
538,11.5547981324,48.1233347864,1034229474,footway
539,11.5548442816,48.1233731302,1034229474,footway
540,11.5548673562,48.1233923021,1034229474,footway
541,11.5549365672,48.1234498333,1034229474,footway
542,11.5548561289,48.1234191251,1011314836,path
543,11.5548561289,48.1234191251,1011314836,path
544,11.5548294526,48.1234328501,1011314836,path
545,11.5548828053,48.1234054002,1011314836,path
546,11.5548673562,48.1233923021,1034229474,footway
547,11.554821207,48.1233539583,1034229474,footway
548,11.5549624572,48.1233635006,1011314836,path
549,11.5548673562,48.1233923021,1034229474,footway
550,11.5548673562,48.1233923021,1034229474,footway
551,11.5548442816,48.1233731302,1034229474,footway
552,11.5548442816,48.1233731302,1034229474,footway
553,11.5548036402,48.1234830666,1133381663,tertiary
554,11.5548036402,48.1234830666,1133381663,tertiary
555,11.5549134981,48.1234306547,1034229474,footway
556,11.5550455,48.1234914,1158963882,service
557,11.5549827054,48.1234881904,1034229474,footway
558,11.554821207,48.1233539583,1034229474,footway
559,11.554821207,48.1233539583,1034229474,footway
560,11.5546366101,48.123200583,1034229474,footway
561,11.5547079621,48.1234776604,1034229472,footway
562,11.5548267625,48.123502181,1133381663,tertiary
563,11.553725997,48.1233084636,155286727,residential
564,11.5520824674,48.124041992,1112880487,residential
565,11.5504532288,48.1247336987,1112880487,residential
566,11.5502875257,48.1248040014,1112880487,residential
567,11.5485874795,48.1255611385,473163855,footway
568,11.5476076827,48.1266618489,292914312,residential
569,11.5463695866,48.1274692432,364988561,secondary
570,11.5452385344,48.1277049992,27145269,secondary
571,11.5442616698,48.1278631911,365100749,residential
572,11.5431304535,48.1283540676,158803941,residential
573,11.541752093,48.1290181627,158803941,residential
574,11.5408316734,48.1294622221,55945524,footway
575,11.5392834575,48.1298513573,60932059,service
576,11.5393203179,48.1305917403,55547206,cycleway
577,11.5392594104,48.1306619444,377450897,cycleway
578,11.5377687107,48.1313312491,372036333,tertiary
579,11.536127767,48.1320924856,94722153,tertiary
580,11.5342273793,48.1328814735,265107029,cycleway
581,11.5333957044,48.1333325363,447067011,cycleway
582,11.5327089086,48.1337810452,235754884,cycleway
583,11.5312420456,48.1348920069,698114481,path
584,11.5304195961,48.1353100737,698114478,service
585,11.5299593,48.1352515,730317045,path
586,11.5299593,48.1352515,730317045,path
587,11.5301414641,48.1351451414,698114473,service
588,11.5300645461,48.1350984121,698114473,service
589,11.5300645461,48.1350984121,698114473,service
590,11.5299552,48.1349541,698114468,service
